City,Region,State,Population (000s),2020 BEV,2020 PHEV,2020 Public Level 2,2020 DC Fast Charge,2020 BEV per cap,2020 Combined per cap,2020 PL2 per cap,2020 DC Fast per cap,2020 PL2 per BEV,2020 DC per BEV,2020 PL2 per Comb,,
Chicago,Midwest,IL,9498.72,35175,21004,1342,153,3.70,5.91,0.141,0.016,0.038,0.004,0.024,,https://www.statista.com/statistics/183600/population-of-metropolitan-areas-in-the-us/
Detroit,Midwest,MI,4326.44,4281,21451,1156,,0.99,5.95,0.267,0.000,0.270,0.000,0.045,,
Minneapolis,Midwest,MN,3629.19,4562,4567,483,,1.26,2.52,0.133,0.000,0.106,0.000,0.053,,
St. Louis,Midwest,MO,2805.47,3016,2445,321,,1.08,1.95,0.114,0.000,0.106,0.000,0.059,,
Cincinnati,Midwest,OH,2190.21,1711,2222,242,,0.78,1.80,0.110,0.000,0.141,0.000,0.062,,
Kansas City,Midwest,KS,2143.65,2150,2307,282,,1.00,2.08,0.132,0.000,0.131,0.000,0.063,,
Columbus,Midwest,OH,2106.54,2156,2150,225,,1.02,2.04,0.107,0.000,0.104,0.000,0.052,,
Cleveland,Midwest,OH,2057.01,1178,1759,195,,0.57,1.43,0.095,0.000,0.166,0.000,0.066,,
Indianapolis,Midwest,IN,2048.7,1829,1942,247,,0.89,1.84,0.121,0.000,0.135,0.000,0.065,,
Milwaukee,Midwest,WI,1576.11,1010,1630,160,,0.64,1.68,0.102,0.000,0.158,0.000,0.061,,
Oklahoma City,Midwest,OK,1396.45,612,663,125,,0.44,0.91,0.090,0.000,0.204,0.000,0.098,,
Louisville,Midwest,KY,1297.3,580,810,97,,0.45,1.07,0.075,0.000,0.167,0.000,0.070,,
New York,Northeast,NY,19979.48,33680,57305,3896,405,1.69,4.55,0.195,0.020,0.116,0.012,0.043,,https://theicct.org/publications/charging-gap-US
Philadelphia,Northeast,PA,6096.37,6997,11870,945,98,1.15,3.09,0.155,0.016,0.135,0.014,0.050,,
Boston,Northeast,MA,4875.39,12064,17172,1372,146,2.47,6.00,0.281,0.030,0.114,0.012,0.047,,
Pittsburgh,Northeast,PA,2324.74,1646,2645,220,,0.71,1.85,0.095,0.000,0.134,0.000,0.051,,
Providence,Northeast,RI,1621.34,1656,3014,283,,1.02,2.88,0.175,0.000,0.171,0.000,0.061,,
Hartford,Northeast,CT,1206.3,1978,3271,246,,1.64,4.35,0.204,0.000,0.124,0.000,0.047,,
Buffalo,Northeast,NY,1130.15,1025,3045,212,,0.91,3.60,0.188,0.000,0.207,0.000,0.052,,
Dallas,South,TX,7539.71,9744,6150,779,119,1.29,2.11,0.103,0.016,0.080,0.012,0.049,,
Houston,South,TX,6997.38,5781,4323,560,85,0.83,1.44,0.080,0.012,0.097,0.015,0.055,,
Washington DC,South,DC,6249.95,14150,17205,1502,181,2.26,5.02,0.240,0.029,0.106,0.013,0.048,,
Miami,South,FL,6198.78,12510,9491,1031,146,2.02,3.55,0.166,0.024,0.082,0.012,0.047,,
Atlanta,South,GA,5949.95,26535,7107,1303,374,4.46,5.65,0.219,0.063,0.049,0.014,0.039,,
Tampa,South,FL,3142.66,3583,4075,408,,1.14,2.44,0.130,0.000,0.114,0.000,0.053,,
Baltimore,South,MD,2802.79,5071,6963,544,,1.81,4.29,0.194,0.000,0.107,0.000,0.045,,
Orlando,South,FL,2572.96,2986,2647,312,,1.16,2.19,0.121,0.000,0.104,0.000,0.055,,
Charlotte,South,NC,2569.21,2043,2282,261,,0.80,1.68,0.102,0.000,0.128,0.000,0.060,,
San Antonio,South,TX,2518.04,1400,1858,200,,0.56,1.29,0.079,0.000,0.143,0.000,0.061,,
Austin,South,TX,2168.32,5319,6963,544,,2.45,5.66,0.251,0.000,0.102,0.000,0.044,,
Nashville,South,TN,1930.96,4105,1205,232,,2.13,2.75,0.120,0.000,0.057,0.000,0.044,,
Virginia Beach,South,VA,1728.73,1437,1347,182,,0.83,1.61,0.105,0.000,0.127,0.000,0.065,,
Jacksonville,South,FL,1534.7,1452,13321,172,,0.95,9.63,0.112,0.000,0.118,0.000,0.012,,
Raleigh,South,NC,1362.54,2374,1860,196,,1.74,3.11,0.144,0.000,0.083,0.000,0.046,,
Memphis,South,TN,1350.62,603,505,100,,0.45,0.82,0.074,0.000,0.166,0.000,0.090,,
Richmond,South,VA,1306.17,761,853,134,,0.58,1.24,0.103,0.000,0.176,0.000,0.083,,
New Orleans,South,LA,1270.4,518,529,78,,0.41,0.82,0.061,0.000,0.151,0.000,0.074,,
Birmingham,South,AL,1151.8,371,539,98,,0.32,0.79,0.085,0.000,0.264,0.000,0.108,,
LA,West,CA,13291.49,132009,149349,8948,1008,9.93,21.17,0.673,0.076,0.068,0.008,0.032,,
San Diego,West,CA,3343.36,27986,24540,1646,223,8.37,15.71,0.492,0.067,0.059,0.008,0.031,,
San Francisco,West,CA,4729.48,81951,55710,4101,573,17.33,29.11,0.867,0.121,0.050,0.007,0.030,,
Phoenix,West,AZ,4857.96,11152,7450,694,,2.30,3.83,0.143,0.000,0.062,0.000,0.037,,
Riverside,West,CA,4622.36,13580,22628,1452,,2.94,7.83,0.314,0.000,0.107,0.000,0.040,,
Seattle,West,WA,3939.36,28451,12933,1561,,7.22,10.51,0.396,0.000,0.055,0.000,0.038,,
Denver,West,CO,2932.42,9589,6263,674,,3.27,5.41,0.230,0.000,0.070,0.000,0.043,,
Portland,West,OR,2478.81,16533,10728,875,,6.67,11.00,0.353,0.000,0.053,0.000,0.032,,
Sacramento,West,CA,2345.21,11792,12607,865,,5.03,10.40,0.369,0.000,0.073,0.000,0.035,,
Las Vegas,West,NV,2231.65,3428,2818,252,,1.54,2.80,0.113,0.000,0.074,0.000,0.040,,
San Jose,West,CA,1999.11,64359,37908,2732,,32.19,51.16,1.367,0.000,0.042,0.000,0.027,,
Salt Lake City,West,UT,1222.54,2769,2017,199,,2.26,3.91,0.163,0.000,0.072,0.000,0.042,,